Date,Option Premium Amount,Notional Amount 1,USD_notional,Option Premium Currency,Spot_USDAUD,Strike_USDAUD,Expiration Date,Type,Option Style,Adj_Prem,Maturity,IV,Delta,Gamma,Rho,Theta,Vega,NAB,long,CP Region,CP Type
2021-02-25,4802.04343,2554278.0,2000000.0,USD,0.7977029999999999,0.7829999999999999,2021-03-11,p,EU,0.002401021715,0.038356164383561646,0.1228684025655727,-0.21651290531182232,15.283819161094913,-6.716701976694226e-05,-0.0002014635433044438,0.0004583420726701141,0,1,US,Credit Institutions
2021-02-25,34164.41192258064,15483871.0,12000000.0,AUD,0.7977029999999999,0.775,2021-03-02,p,EU,0.00284703432688172,0.0136986301369863,0.2866395338284076,-0.1902081507539357,10.146835346872143,-2.117488312434911e-05,-0.0007270085316174208,0.00025352821139065725,0,-1,Australia,Non-financial firms
2021-02-25,31966.701212903223,15483871.0,12000000.0,AUD,0.7977029999999999,0.775,2021-03-02,p,EU,0.0026638917677419354,0.0136986301369863,0.2793457762952038,-0.18428194708441326,10.209970035344769,-2.0502212849701312e-05,-0.000694780676712255,0.0002486143355890372,0,1,Australia,Investment Firms
2021-02-25,27283.55363520408,3826531.0,3000000.0,AUD,0.7977029999999999,0.784,2021-03-08,p,EU,0.00909451787840136,0.030136986301369864,0.2730127818296797,-0.3486949976811111,9.783697286025117,-8.656836163698037e-05,-0.0006362162674741139,0.0005122338309612811,0,1,Australia,Investment Firms
2021-02-25,8475.0,595948.0,500000.0,USD,0.7977029999999999,0.8390000000000001,2022-02-25,c,EU,0.01695,1.0,0.10371452147240481,0.3294044326026866,4.3741257535130424,0.0024581690410046086,-4.054236859038694e-05,0.0028867773106092216,1,-1,US,Credit Institutions
2021-02-25,17168.023810731953,1205125.0,950000.0,AUD,0.7977029999999999,0.7883,2021-04-19,p,EU,0.01807160401129679,0.14520547945205478,0.1860531580435652,-0.42024530525529236,6.912642441550325,-0.0005130146540196174,-0.00020926002220990914,0.001188356087861219,0,-1,Australia,Investment Firms
2021-02-25,15520.015844221743,596220.0,470000.0,AUD,0.7977029999999999,0.7883,2021-04-19,c,EU,0.033021310306854776,0.14520547945205478,0.2332794346098282,0.5701260282966264,5.53887163893602,0.0006124330531699395,-0.00026193572634143435,0.0011938869650562184,1,1,EEA,Investment Firms
2021-02-25,3520.0,1000000.0,750000.0,AUD,0.7977029999999999,0.75,2021-04-29,p,EU,0.004693333333333333,0.1726027397260274,0.15723443782262855,-0.16483631477681993,4.760665101099756,-0.00023505689415901518,-0.00010285531690081693,0.0008221393572127677,1,-1,US,Investment Firms
2021-02-25,4381.07256,1261830.0,1000000.0,USD,0.7977029999999999,0.7925,2021-03-05,p,EU,0.004381072559999999,0.021917808219178082,0.1417592410425392,-0.37389026367464684,22.628964232574756,-6.633084001403985e-05,-0.00039697435212108026,0.00044739963826641234,0,-1,Australia,Credit Institutions
2021-02-25,3148.19428,1245330.0,1000000.0,USD,0.7977029999999999,0.8029999999999999,2021-03-05,c,EU,0.00314819428,0.021917808219178082,0.11407028183005812,0.35035261352581215,27.505312963536756,6.056529021093281e-05,-0.0003114460717043743,0.00043759129966348546,0,1,EEA,Credit Institutions
